District,Region,Population,Health_Facilities,Doctors,Nurses,Hospital_Beds,Disease_Cases,Medicine_Stock,Emergency_Visits,Budget_Million_UGX,Resource_Need_Level
Mbale,Western,837027,31,41,588,717,39515,69,7804,1574,High
Kampala,Western,632569,31,90,141,769,14273,68,1846,1160,Medium
Jinja,Northern,767275,11,172,295,622,972,71,9562,6400,Low
Mbale,Central,185246,47,114,451,88,28829,55,9291,4454,Medium
Jinja,Eastern,204569,59,71,400,324,40419,45,7318,338,High
Jinja,Central,464411,68,119,199,626,8358,63,704,2159,Low
Kabale,Central,208684,11,186,312,911,30988,83,5405,7653,High
Kampala,Northern,751740,35,119,280,865,46256,95,7794,3839,High
Mbale,Central,294873,28,98,137,377,39411,92,7624,7695,High
Gulu,Central,495252,32,22,475,701,38508,70,2235,1016,High
Kabale,Central,491386,57,68,535,970,47561,86,2094,5013,High
Mbarara,Eastern,409259,32,151,352,112,29309,79,3078,6164,Medium
Masaka,Western,811947,13,88,39,133,16911,66,2970,5427,Medium
Masaka,Western,85562,62,36,349,593,13953,50,5115,4589,Medium
Kabale,Northern,590299,39,70,302,477,48063,49,4903,2346,High
Lira,Northern,687693,26,155,216,474,9130,96,3601,6140,Low
Jinja,Northern,464291,44,108,506,425,10642,89,6081,7598,Low
Kampala,Eastern,725938,37,50,557,361,45192,53,6347,2424,High
Gulu,Northern,427037,63,136,559,631,14057,48,3001,5475,Medium
Jinja,Western,52492,60,52,90,286,6491,53,1887,6940,Low
Arua,Eastern,392678,36,79,306,826,23197,83,991,5918,Medium
Kabale,Central,650471,10,10,188,599,17413,95,8755,840,High
Kabale,Eastern,252060,35,130,577,791,22863,69,853,7151,Medium
Arua,Western,854275,20,106,384,821,36742,59,1751,6314,High
Mbarara,Western,345802,40,74,108,259,3343,45,6356,3066,Low
Kabale,Northern,736057,60,91,295,273,41483,50,8556,4383,High
Arua,Northern,655373,19,146,198,51,16344,63,8518,4411,Medium
Lira,Northern,630505,58,153,499,189,3248,63,1511,351,Low
Jinja,Northern,76914,12,52,151,331,19790,92,1876,4349,Medium
Gulu,Eastern,730311,24,143,322,346,12012,48,7457,1549,Medium
Lira,Eastern,239139,21,82,414,158,36637,60,9145,2167,High
Mbale,Western,889032,16,140,357,640,30443,95,1651,6469,High
Masaka,Central,644971,37,161,119,175,22016,60,6776,354,Medium
Masaka,Central,155795,28,185,451,835,17539,60,1007,1391,Medium
Arua,Central,439608,49,92,177,966,30440,69,816,2983,High
Arua,Western,793439,70,30,342,923,4143,62,8793,3507,Low
Jinja,Western,521239,40,40,92,840,20499,80,1487,5883,Medium
Mbarara,Eastern,91113,10,140,309,587,35857,51,6821,7683,High
Masaka,Central,189809,36,31,162,996,44573,68,119,7824,High
Mbarara,Central,286329,6,190,262,792,10504,64,8804,7409,Low
Gulu,Northern,603103,78,106,510,848,18709,40,3902,5773,Medium
Jinja,Western,636114,67,13,392,466,8779,83,7483,1258,High
Kabale,Western,732750,5,187,521,585,36562,49,246,2966,High
Lira,Eastern,441016,77,12,525,66,8570,70,1350,924,High
Kabale,Eastern,387528,34,71,478,683,5622,68,8931,7066,Low
Masaka,Eastern,658228,44,140,572,375,32378,94,3660,6966,High
Mbale,Central,483439,20,135,373,749,8767,74,7022,7732,Low
Mbarara,Northern,282396,35,61,369,43,26800,57,4792,662,Medium
Kampala,Eastern,365188,76,104,327,798,48657,76,2883,4059,High
Lira,Eastern,349849,56,15,119,497,40884,60,3149,5412,High
Masaka,Central,807452,67,49,256,297,24697,87,9967,1111,Medium
Jinja,Central,660253,50,94,416,632,49754,47,5638,2905,High
Jinja,Western,199086,27,10,84,492,36080,86,5241,2000,High
Masaka,Central,52264,52,60,438,567,17406,61,4252,4582,Medium
Kampala,Central,609234,38,183,594,676,24132,44,9562,4752,Medium
Mbale,Western,844205,7,93,446,45,19853,56,366,3208,Medium
Kampala,Central,298115,75,186,561,688,30556,46,9837,7737,High
Jinja,Central,608240,37,94,120,167,5611,87,7617,3881,Low
Mbarara,Northern,800185,73,75,550,368,48357,70,4210,3549,High
Kabale,Northern,139039,8,143,569,897,38174,43,2497,6737,High
Lira,Western,244056,57,110,323,459,13118,40,1613,6952,Medium
Masaka,Northern,184226,37,118,198,751,840,88,547,5106,Low
Jinja,Western,69424,12,115,289,262,16336,77,1834,3895,Medium
Mbarara,Central,720497,34,32,255,248,6975,68,9679,1126,Low
Jinja,Eastern,381201,65,46,431,502,46394,50,5408,3316,High
Lira,Northern,611290,17,178,119,483,37273,98,8194,1061,High
Wakiso,Northern,752368,52,37,105,646,44810,88,6854,4071,High
Lira,Eastern,769016,22,161,453,528,12695,99,7696,2557,Medium
Masaka,Central,679100,76,45,356,401,15097,78,3979,2229,Medium
Lira,Eastern,578023,68,116,571,687,9875,53,3831,3030,Low
Jinja,Central,124527,44,35,507,204,49314,69,7778,212,High
Mbale,Central,657806,9,138,462,212,2271,73,2170,1857,Low
Jinja,Eastern,391149,31,96,217,574,17736,52,165,7912,Medium
Mbarara,Western,830390,69,19,57,702,20098,40,1886,401,High
Mbale,Eastern,832348,61,96,36,959,42104,87,7496,1359,High
Kabale,Central,215352,64,85,293,804,35368,69,424,2554,High
Jinja,Western,68909,13,23,472,854,777,73,6940,7219,Low
Wakiso,Eastern,898730,16,35,295,33,26023,45,8805,6992,Medium
Masaka,Northern,464951,33,35,352,642,624,84,8603,3599,Low
Kabale,Northern,605176,6,26,200,788,15758,54,2954,2859,Medium
Jinja,Eastern,113234,49,116,151,532,33014,52,5081,4460,High
Kampala,Northern,402914,57,57,481,739,15721,59,772,7148,Medium
Jinja,Eastern,651089,34,109,600,414,5534,45,1690,1066,Low
Arua,Central,559928,11,188,109,768,45969,79,625,1886,High
Kampala,Northern,699271,72,63,598,450,26369,55,4506,3029,Medium
Gulu,Western,713022,63,49,479,290,33879,69,1068,7213,High
Arua,Northern,616314,34,128,328,951,38340,82,9600,4993,High
Masaka,Western,731114,5,192,575,831,48363,48,1304,1116,High
Mbarara,Northern,70941,25,131,184,26,36033,56,6090,3330,High
Mbarara,Eastern,52590,38,180,269,896,21748,48,6891,2356,Medium
Jinja,Western,389815,23,9,537,877,20726,87,9841,4237,High
Kampala,Northern,134141,65,122,230,872,32230,97,2324,1200,High
Masaka,Eastern,638513,20,6,347,208,41017,74,3208,5348,High
Kabale,Eastern,606236,13,173,36,220,38112,95,4971,822,High
Wakiso,Northern,515906,49,34,225,597,25499,57,3332,2330,Medium
Mbale,Central,756065,58,64,279,410,27430,46,7058,6726,Medium
Masaka,Northern,220685,22,76,173,675,43879,80,2427,4498,High
Mbarara,Eastern,610663,26,57,267,209,10130,65,1361,4041,Low
Jinja,Western,738010,16,61,85,625,35217,41,536,5721,High
Wakiso,Central,160128,52,66,451,562,22786,63,6581,4830,Medium
Mbale,Northern,856944,73,188,65,326,13912,53,2794,4857,Medium
Mbale,Eastern,292469,60,125,246,773,47012,44,8116,6640,High
Mbale,Eastern,791002,39,190,328,467,48874,56,8218,5902,High
Kampala,Eastern,571670,50,133,46,689,31311,50,8823,7032,High
Arua,Western,160344,67,128,96,92,11751,68,7374,3051,Low
Lira,Western,605863,48,104,156,489,1706,80,9265,904,Low
Jinja,Western,207590,50,86,348,780,27508,71,185,1421,Medium
Gulu,Northern,436811,33,107,358,414,9065,76,7296,4984,Low
Kabale,Central,723086,80,157,261,362,45724,42,2440,4577,High
Kabale,Central,831210,44,100,446,678,32612,58,6258,7721,High
Masaka,Western,261744,40,137,258,247,32251,57,3019,4188,High
Masaka,Central,270604,65,24,444,537,45721,85,4289,6697,High
Wakiso,Central,853300,17,96,524,853,15205,70,1385,7501,Medium
Lira,Western,320330,24,132,149,71,11249,84,3400,4900,Low
Lira,Northern,285401,66,73,499,26,7566,65,4416,6119,Low
Mbarara,Western,161430,42,157,71,276,42217,50,4034,5479,High
Gulu,Eastern,190182,65,7,164,234,47558,90,8906,3023,High
Arua,Western,104064,45,123,90,255,25966,56,7471,1479,Medium
Arua,Central,195314,36,134,241,930,30044,50,1815,2772,High
Lira,Western,592729,53,51,210,176,18816,65,292,6527,Medium
Kabale,Eastern,149606,13,197,105,453,11003,54,1812,2064,Low
Mbarara,Central,389224,16,172,97,810,25969,73,5913,1001,Medium
Kampala,Northern,615584,70,30,505,613,49410,68,5464,967,High
Jinja,Central,176196,56,32,365,73,15924,56,9846,5414,Medium
Masaka,Central,398705,50,36,504,999,16447,78,8111,1169,Medium
Mbarara,Northern,775977,21,6,157,659,45737,40,260,833,High
Gulu,Western,651669,38,58,134,116,22540,97,4016,4806,Medium
Kabale,Central,240208,30,162,451,809,33730,73,702,1133,High
Wakiso,Northern,237130,11,25,129,315,16941,86,6304,4676,Medium
Mbale,Western,549576,9,153,264,91,37558,68,1047,3218,High
Mbale,Eastern,655442,53,159,453,205,3934,77,5364,4973,Low
Lira,Central,797596,24,10,539,287,21085,74,9914,4283,High
Lira,Central,352747,19,70,153,542,2407,74,3759,3354,Low
Lira,Northern,422806,47,69,159,876,20229,97,6182,2231,Medium
Arua,Central,665086,8,11,327,365,40938,68,4411,5794,High
Arua,Northern,446403,51,63,111,717,30652,77,1791,1158,High
Mbarara,Western,82983,43,168,520,966,32274,75,6997,4041,High
Kampala,Western,344972,9,123,74,979,32463,65,135,2835,High
Jinja,Northern,140569,7,135,580,507,23935,99,4192,6445,Medium
Gulu,Central,460370,8,100,410,631,7176,81,8298,554,Low
Kampala,Eastern,523638,71,9,170,65,23097,47,1560,4664,High
Gulu,Northern,790964,16,73,494,849,27506,61,2457,1694,Medium
Kabale,Western,57830,20,21,590,886,40983,68,1823,5183,High
Kabale,Western,240516,47,43,494,747,3527,97,3640,7611,Low
Gulu,Central,129214,79,143,407,978,24101,71,1431,2831,Medium
Gulu,Northern,566488,74,88,281,698,20105,85,3737,3969,Medium
Kabale,Western,490801,44,187,572,253,11004,50,4956,4164,Low
Jinja,Eastern,119909,39,127,80,293,42221,59,1840,902,High
Wakiso,Eastern,206198,46,17,458,513,44063,53,8649,4983,High
Gulu,Central,779283,65,37,337,319,8023,76,8474,7039,Low
Lira,Eastern,184787,54,146,42,711,23538,64,746,2301,Medium
Masaka,Central,735553,52,45,520,895,16371,58,7287,6792,Medium
Wakiso,Northern,684338,39,80,575,874,15116,56,287,3564,Medium
Jinja,Western,631965,14,200,292,521,29035,74,8464,7407,Medium
Lira,Central,105514,50,23,169,567,4541,71,4338,7088,Low
Mbarara,Central,407540,7,164,367,303,40069,72,3421,1054,High
Wakiso,Western,354749,14,143,533,145,30885,88,4075,3180,High
Arua,Central,805060,36,22,238,418,28369,59,6157,4516,Medium
Jinja,Western,271614,6,147,96,524,5469,52,6061,4299,Low
Lira,Central,254509,78,167,232,83,21371,75,8518,6252,Medium
Masaka,Northern,186930,52,39,382,753,12813,75,7750,6953,Medium
Masaka,Northern,404805,13,88,512,899,49179,90,3376,2581,High
Lira,Central,105122,12,123,355,766,5561,77,2971,3138,Low
Mbale,Western,122536,73,58,470,580,30657,92,9159,2471,High
Masaka,Eastern,197966,31,42,562,538,6093,91,6754,3739,Low
Kampala,Central,477712,22,185,66,685,36538,49,4365,4316,High
Mbale,Central,842106,64,116,448,354,26870,91,8631,7192,Medium
Arua,Central,588512,29,185,155,819,36450,99,5855,1784,High
Jinja,Central,413804,51,51,327,960,28873,53,5301,4595,Medium
Masaka,Central,344580,67,110,358,318,15160,69,9665,4763,Medium
Jinja,Eastern,492341,15,80,134,513,10114,62,3111,5221,Low
Gulu,Western,295181,34,67,207,494,9963,84,9576,6391,Low
Arua,Central,899698,14,177,525,458,40333,88,9011,3812,High
Wakiso,Western,548720,52,34,95,110,26688,89,1124,7279,Medium
Jinja,Western,440105,70,69,41,234,8926,44,8445,2147,Low
Jinja,Eastern,224392,60,11,152,216,25060,95,4796,5244,High
Arua,Western,507513,22,113,169,703,36419,71,4601,1857,High
Wakiso,Western,499465,78,154,321,867,38299,81,4635,541,High
Wakiso,Northern,729160,24,147,353,78,5743,49,8074,7851,Low
Masaka,Northern,444758,28,136,332,218,3683,54,3654,5393,Low
Gulu,Central,585731,15,186,575,528,24000,47,8526,4074,Medium
Jinja,Eastern,787827,76,14,450,728,33621,75,809,3364,High
Kabale,Western,97030,41,52,407,972,40027,43,9152,5666,High
Mbarara,Central,190734,25,149,537,37,25979,41,2789,2023,Medium
Kabale,Central,637783,60,138,200,33,27346,90,8108,7324,Medium
Kampala,Northern,549046,15,60,144,435,5423,77,9617,3999,Low
Mbarara,Central,785740,63,49,419,726,32061,79,1455,6030,High
Mbale,Western,541461,10,106,397,935,33297,92,9710,6455,High
Masaka,Northern,324239,68,20,140,992,10091,61,8798,6933,Low
Kampala,Eastern,702213,79,121,424,318,28827,81,8940,5288,Medium
Mbarara,Central,64043,35,123,119,562,8858,45,704,7426,Low
Kabale,Northern,146859,22,100,440,828,39573,41,9161,3149,High
Masaka,Central,615846,58,123,211,441,12554,84,1927,6586,Medium
Lira,Central,619370,66,95,401,119,40497,45,8735,4617,High
Kabale,Northern,430159,64,56,511,168,31257,51,3489,2948,High
Kabale,Northern,520609,58,82,529,421,1391,66,6640,2031,Low
Lira,Eastern,790498,65,97,525,809,1277,53,5809,2559,Low
Masaka,Western,224057,31,21,114,230,23835,49,1580,4437,Medium
Gulu,Central,747961,39,135,351,198,44023,59,3181,7610,High
Lira,Northern,676608,19,33,552,30,42958,78,1553,6788,High
Masaka,Eastern,374483,75,195,205,951,40295,73,3098,3574,High
Gulu,Central,787921,24,21,562,446,2983,58,7757,6462,Low
Masaka,Central,852018,72,76,90,653,25085,56,7870,815,Medium
Masaka,Northern,226570,66,46,31,340,48290,94,6108,7677,High
Masaka,Central,895119,21,56,95,55,46159,88,1027,1522,High
Mbarara,Western,57362,20,59,386,341,6033,72,7819,1263,Low
Jinja,Eastern,824425,19,131,543,883,5245,50,8202,7714,Low
Wakiso,Northern,642427,72,45,194,242,21535,47,3706,6105,Medium
Mbarara,Western,693929,8,88,89,806,24676,76,6031,916,Medium
Jinja,Western,582356,50,166,264,966,46116,100,6752,5053,High
Kabale,Western,196945,33,81,36,172,41907,92,9035,2386,High
Wakiso,Western,56775,66,136,508,591,49599,89,1295,4379,High
Gulu,Western,667910,38,129,231,185,15678,69,6056,6322,Medium
Kampala,Western,329579,75,197,28,975,48357,80,1944,5960,High
Masaka,Eastern,542929,42,135,589,657,29720,44,2887,6907,Medium
Lira,Northern,369144,38,187,133,900,26657,96,446,776,Medium
Arua,Northern,82793,74,180,219,496,26354,97,5406,4896,Medium
Gulu,Eastern,697930,68,137,540,571,14639,100,4377,4259,Medium
Gulu,Western,781270,40,181,99,542,42325,76,3060,5659,High
Masaka,Central,515223,42,116,230,378,31136,43,1370,2538,High
Arua,Eastern,207296,9,81,441,908,8863,56,8539,7831,Low
Mbale,Western,605697,62,175,577,374,45122,40,1908,916,High
Kampala,Western,483460,18,24,275,592,42523,83,3242,6373,High
Jinja,Central,811578,10,26,270,727,22775,54,2192,7278,Medium
Jinja,Eastern,640443,27,39,114,266,31631,45,336,4761,High
Kampala,Central,521686,22,73,151,372,49605,87,5268,6360,High
Masaka,Central,697095,73,104,543,636,17517,58,5178,5581,Medium
Mbale,Western,733579,20,51,538,890,7531,58,9899,3223,Low
Jinja,Central,161142,66,73,426,353,30375,48,8913,6849,High
Kabale,Eastern,345852,41,75,208,671,7874,74,556,7732,Low
Mbarara,Northern,788628,51,9,568,347,19369,59,8289,744,High
Mbarara,Northern,576813,6,158,279,880,31493,76,2632,6941,High
Wakiso,Western,145286,22,36,125,912,39530,42,9890,6789,High
Lira,Northern,732547,43,33,430,103,31413,42,2081,3186,High
Mbarara,Northern,899924,10,154,116,454,42857,90,2492,6349,High
Arua,Eastern,292700,56,127,237,415,41828,81,2923,698,High
Jinja,Northern,669200,68,195,584,565,17863,57,3653,4429,Medium
Mbarara,Eastern,55161,55,138,173,234,35128,72,9658,6008,High
Kabale,Central,532384,70,181,488,922,954,73,238,6623,Low
Kampala,Eastern,175382,38,110,341,313,23709,53,8147,2612,Medium
Lira,Northern,819737,44,100,568,736,33300,99,5291,1507,High
Arua,Eastern,597769,19,86,167,505,39847,66,7285,3069,High
Jinja,Eastern,847810,58,105,534,804,24096,51,6149,1346,Medium
Kampala,Central,260367,45,92,201,701,31706,71,2259,6040,High
Mbale,Northern,308954,45,180,27,355,18620,41,3531,6377,Medium
Arua,Western,311986,56,42,21,928,43313,41,9085,2081,High
Kampala,Central,347042,59,167,168,653,39282,81,1374,6512,High
Mbarara,Northern,238448,36,66,95,60,36636,86,1429,1938,High
Mbarara,Northern,89927,16,78,176,88,10949,82,2402,909,Low
Mbale,Western,153412,5,144,313,837,22554,87,790,509,Medium
Wakiso,Northern,581646,30,101,305,725,14362,91,1972,1468,Medium
Gulu,Central,670249,64,191,283,182,35787,85,492,1816,High
Arua,Central,547481,51,182,483,29,11232,93,9359,3159,Low
Masaka,Northern,732636,58,171,548,488,32604,42,3182,4683,High
Lira,Eastern,267722,47,105,50,246,20940,91,3631,7453,Medium
Lira,Northern,588740,21,26,548,241,49288,46,6444,3906,High
Gulu,Eastern,734877,16,93,135,51,37881,51,6730,7129,High
Arua,Northern,842294,75,150,157,850,9990,77,9469,5094,Low
Gulu,Northern,145539,38,185,280,975,32405,89,5085,5447,High
Mbale,Central,362869,12,8,344,566,5356,58,6963,6122,High
Wakiso,Central,584417,80,34,578,370,35028,53,2482,1650,High
Mbarara,Eastern,199785,49,147,205,996,25506,67,102,847,Medium
Mbale,Central,73906,19,38,211,137,20142,76,8717,2852,Medium
Masaka,Northern,81946,71,33,216,712,13180,65,770,955,Medium
Kabale,Eastern,798580,52,17,204,100,5395,77,9131,4719,High
Kampala,Eastern,167494,35,143,547,386,17012,85,504,5149,Medium
Lira,Western,790929,60,81,559,585,25313,43,9343,3426,Medium
Wakiso,Eastern,187472,18,107,538,609,49885,57,6608,6232,High
Kampala,Eastern,111372,30,67,256,36,37667,52,2968,2733,High
Jinja,Central,71843,16,30,378,991,40772,93,1202,7907,High
Kabale,Eastern,79929,9,53,354,815,21436,49,262,882,Medium
Kampala,Eastern,685853,72,180,448,203,37715,62,3644,2273,High
Gulu,Western,840086,61,112,498,658,8674,54,1322,4869,Low
Arua,Northern,551038,51,145,515,596,47010,97,7447,4235,High
Mbarara,Central,641591,44,57,63,430,42226,100,5655,2345,High
Mbale,Northern,602844,50,112,561,998,10091,73,9334,3138,Low
Mbarara,Eastern,400808,57,164,367,731,2884,75,3575,1273,Low
Kabale,Eastern,747509,12,28,204,969,25419,85,2314,7191,Medium
Mbale,Western,112916,37,63,242,260,42241,60,322,4665,High
Kabale,Central,560588,58,90,31,735,23552,66,8674,4209,Medium
Jinja,Northern,406677,28,63,348,523,24203,71,2026,3628,Medium
Mbarara,Central,762792,67,34,484,671,39692,99,6750,4756,High
Lira,Central,160102,50,137,191,649,3290,67,3254,2437,Low
Lira,Western,235115,22,73,343,364,39763,99,5489,354,High
Mbarara,Central,374861,46,31,220,710,37982,96,4138,6802,High
Kampala,Eastern,491769,32,51,144,474,16431,66,9521,4977,Medium
Gulu,Central,349522,22,21,503,45,10461,68,3486,5900,Low
Arua,Northern,367861,64,157,550,891,13486,73,926,2777,Medium
Kampala,Central,559770,18,40,201,461,2082,93,1087,5685,Low
Arua,Northern,657791,68,91,373,125,18486,98,5693,721,Medium
Masaka,Central,743690,70,160,263,783,4458,78,5957,2021,Low
Gulu,Central,643504,42,120,500,147,1109,75,1942,2370,Low
Lira,Western,407070,50,163,582,467,17181,68,7179,2083,Medium
Jinja,Western,866406,12,104,325,806,47117,82,3628,1849,High
Kampala,Northern,768470,40,44,357,491,4598,86,5359,5517,Low
Gulu,Eastern,186469,60,75,406,692,35139,49,8738,4459,High
Arua,Central,113045,76,188,115,426,29866,41,2407,1258,Medium
Kampala,Northern,631392,39,138,193,253,34940,70,158,4191,High
Kampala,Eastern,688091,13,107,587,540,22390,74,3885,7085,Medium
Gulu,Eastern,172082,24,35,347,294,27722,90,6503,651,Medium
Masaka,Northern,870583,12,87,572,764,37732,42,5704,4885,High
Kabale,Western,450143,43,179,35,398,11211,73,8028,3326,Low
Arua,Western,463554,55,162,502,178,22984,54,8341,971,Medium
Gulu,Eastern,78601,39,103,112,318,13959,77,7621,2798,Medium
Kampala,Central,308499,48,171,171,198,15428,71,2330,2417,Medium
Kabale,Western,771529,45,137,164,788,18631,79,1470,3619,Medium
Lira,Western,454200,50,169,41,255,32697,81,190,4263,High
Gulu,Eastern,666149,63,189,529,401,7753,54,7680,5870,Low
Mbarara,Western,107102,42,74,420,974,41149,58,7876,2604,High
Wakiso,Central,440791,80,45,424,152,24455,54,6298,1600,Medium
Masaka,Eastern,347694,79,177,560,926,5179,83,528,356,Low
Wakiso,Eastern,374992,66,39,165,462,15672,63,7687,6158,Medium
Wakiso,Eastern,783400,21,125,175,924,1871,96,4708,1347,Low
Gulu,Northern,781207,10,200,88,777,41034,58,474,1081,High
Arua,Western,382307,5,79,115,737,41167,58,6097,5011,High
Jinja,Northern,897955,55,98,246,223,47431,67,9798,3824,High
Lira,Western,896389,24,125,246,895,6727,65,4411,3657,Low
Jinja,Western,788977,23,191,564,417,12325,40,5710,4516,Medium
Arua,Western,864673,5,44,58,334,30458,99,4850,328,High
Jinja,Central,755799,48,129,113,179,37699,88,7927,6380,High
Masaka,Northern,892932,59,131,341,506,37837,71,7940,2942,High
Kabale,Northern,443836,53,6,129,410,23523,94,7200,7516,High
Kabale,Central,842328,74,77,550,85,38000,53,6024,6122,High
Mbale,Central,839593,62,112,140,219,36198,96,2653,6108,High
Mbarara,Eastern,534859,70,98,521,844,30484,67,8071,5335,High
Mbarara,Northern,299861,10,102,596,685,48979,60,5027,5105,High
Mbarara,Western,870408,68,154,127,306,15566,40,5180,7536,Medium
Kampala,Central,727509,33,174,415,519,26063,64,7421,6153,Medium
Mbarara,Western,895860,58,78,395,963,22919,49,6849,1876,Medium
Kampala,Northern,133639,76,135,588,326,9338,95,6357,7599,Low
Lira,Northern,851151,37,36,562,677,33309,68,3134,230,High
Jinja,Western,243613,11,143,73,352,47735,56,9959,6262,High
Jinja,Northern,835899,53,55,52,619,5501,75,9603,3596,Low
Masaka,Eastern,59191,72,112,437,380,16024,97,6790,5085,Medium
Gulu,Central,703757,25,110,154,511,14522,59,3297,2258,Medium
Wakiso,Central,883126,18,82,294,344,35167,95,2917,3905,High
Arua,Central,441154,14,168,344,382,44399,74,2563,2585,High
Kampala,Eastern,657877,68,190,127,157,3649,60,5597,736,Low
Arua,Northern,774166,17,46,432,439,47231,43,1537,7326,High
Jinja,Central,839780,63,154,343,543,33589,81,8236,3457,High
Arua,Eastern,640573,73,93,372,364,28886,95,6686,7584,Medium
Mbarara,Central,422017,29,171,508,245,19114,47,9573,5083,Medium
Mbarara,Central,703176,67,169,212,265,42865,80,3724,4159,High
Mbarara,Western,394279,40,105,488,758,13687,86,7640,5321,Medium
Lira,Central,868591,55,140,220,803,46074,59,8689,4192,High
Kabale,Central,247838,70,106,530,782,17720,71,4210,2528,Medium
Kabale,Central,805573,36,131,390,957,5573,100,9183,7395,Low
Wakiso,Central,675051,17,180,501,789,30392,66,1767,7348,High
Kabale,Western,265725,73,155,110,481,46718,46,4243,3868,High
Masaka,Central,619904,79,9,255,851,12875,68,2704,939,High
Wakiso,Central,825818,32,164,77,97,22337,98,2783,5822,Medium
Mbale,Northern,842965,8,30,159,896,11929,74,5270,3930,Low
Jinja,Eastern,580916,6,140,279,394,6491,92,1028,238,Low
Gulu,Eastern,224823,64,46,138,772,34227,96,5403,5303,High
Wakiso,Central,197080,66,42,586,948,8103,97,5518,7155,Low
Mbale,Central,586611,67,38,408,71,17227,46,614,2291,Medium
Mbarara,Northern,227539,44,58,380,693,15546,84,1480,3754,Medium
Masaka,Central,829917,51,77,317,796,9885,66,8347,2412,Low
Kabale,Central,710101,42,24,156,629,4027,58,6061,7033,Low
Mbale,Central,387585,76,77,128,972,25154,75,2009,6164,Medium
Lira,Central,771502,55,200,199,218,6739,65,1204,2706,Low
Masaka,Central,379961,53,111,236,811,48603,95,7117,370,High
Gulu,Eastern,686597,76,93,352,67,2033,82,5014,5831,Low
Kampala,Northern,705863,40,37,561,988,46494,82,1647,2776,High
Gulu,Central,370924,40,109,517,628,33503,69,987,2689,High
Lira,Western,262262,74,144,64,964,14957,42,7075,1157,Medium
Gulu,Western,216670,54,8,428,880,49494,44,7417,4341,High
Masaka,Central,766595,15,149,66,772,8179,85,6019,1808,Low
Lira,Central,223303,22,175,314,504,45350,92,8882,7886,High
Mbale,Central,581066,52,109,152,394,5545,50,7574,1355,Low
Masaka,Eastern,620480,17,90,60,238,29106,99,1855,1410,Medium
Masaka,Northern,258562,71,145,420,650,12629,79,7912,3446,Medium
Kabale,Northern,899343,47,104,74,623,31830,73,8509,7590,High
Mbale,Central,161536,63,187,318,432,30092,71,958,3663,High
Wakiso,Eastern,846561,46,55,345,165,5524,56,5307,3047,Low
Masaka,Northern,387208,77,16,157,738,44578,71,2235,3409,High
Kampala,Central,845810,40,109,211,588,33774,78,5073,1170,High
Kampala,Western,126694,52,111,366,821,22276,84,1640,1680,Medium
Lira,Western,232970,23,94,45,396,45795,77,7658,1195,High
Masaka,Central,677319,59,86,451,793,38437,85,7710,3606,High
Gulu,Northern,831986,11,67,173,846,17924,87,5238,5722,Medium
Kabale,Central,821814,52,71,489,357,38982,56,6921,1274,High
Gulu,Northern,493011,71,42,194,200,19559,40,878,6782,Medium
Kabale,Eastern,464939,74,180,107,504,22107,100,447,6542,Medium
Gulu,Western,192095,18,157,171,406,23091,83,8036,7339,Medium
Wakiso,Northern,467931,50,129,407,304,22015,73,8913,7125,Medium
Arua,Central,314974,18,156,30,436,44665,64,6749,6062,High
Lira,Eastern,153611,78,27,39,364,20328,52,2457,6869,Medium
Wakiso,Eastern,134324,33,8,253,458,14641,78,991,1433,High
Kampala,Western,274478,37,124,433,196,27796,77,3065,2534,Medium
Jinja,Eastern,578203,35,199,459,289,49504,85,8367,1698,High
Kampala,Northern,415932,77,17,257,889,25905,70,9267,494,High
Jinja,Central,241712,24,21,292,948,15848,46,9176,4664,Medium
Mbarara,Eastern,706313,30,195,346,843,4437,60,3374,806,Low
Kabale,Western,458347,64,87,598,726,48146,76,4004,7681,High
Arua,Northern,468614,48,176,497,539,30204,47,5493,4092,High
Wakiso,Western,566106,28,112,295,557,47919,65,7959,7677,High
Mbale,Eastern,763722,13,92,200,282,44407,85,7278,4206,High
Lira,Eastern,82214,34,11,434,490,20797,96,8846,4338,High
Masaka,Central,371282,56,150,566,469,4031,42,2616,1426,Low
Wakiso,Western,593259,53,196,496,887,19471,68,2905,3813,Medium
Wakiso,Central,493800,18,62,30,308,754,63,8133,7577,Low
Jinja,Central,157751,78,28,283,574,23782,44,7389,3278,Medium
Wakiso,Eastern,329966,13,58,386,244,19045,67,6502,6193,Medium
Wakiso,Central,729535,21,180,135,235,27840,82,5435,2348,Medium
Kampala,Western,412536,75,109,420,396,23055,55,7360,2942,Medium
Gulu,Eastern,577877,51,138,396,710,45067,82,2997,3716,High
Masaka,Eastern,332786,51,135,188,600,25246,61,3394,4713,Medium
Wakiso,Northern,283487,77,106,156,163,6445,93,841,2689,Low
Mbale,Northern,602773,46,99,536,810,44987,47,898,3351,High
Jinja,Central,476045,60,158,532,325,3493,63,3478,7005,Low
Jinja,Eastern,494209,22,10,504,429,16924,67,5902,2629,High
Kabale,Eastern,480594,5,34,150,33,29671,93,7913,4037,Medium
Lira,Western,81415,18,188,20,511,3604,71,5371,5959,Low
Lira,Central,651160,71,61,325,674,16113,67,1633,2623,Medium
Wakiso,Eastern,353702,34,59,51,711,18898,57,7794,6866,Medium
Gulu,Central,749137,80,18,494,667,40081,73,7071,1077,High
